locale;department_ID;name
en;11111111-1111-1111-1111-111111111101;Orbital Engineering
en;11111111-1111-1111-1111-111111111102;Stellar Navigation
en;22222222-2222-2222-2222-222222222201;Orbital Engineering
en;22222222-2222-2222-2222-222222222202;Wormhole Research
en;22222222-2222-2222-2222-222222222203;Deep Space Logistics
de;11111111-1111-1111-1111-111111111101;Orbitaltechnik
de;11111111-1111-1111-1111-111111111102;Sternennavigation
de;22222222-2222-2222-2222-222222222201;Orbitaltechnik
de;22222222-2222-2222-2222-222222222202;Wurmlochforschung
de;22222222-2222-2222-2222-222222222203;Tiefraumlogistik
